Band_Index,Wavelength_nm,Dice_Score
138,704.447,0.01653096916390026
61,533.694,0.01652468266817319
80,575.828,0.01650205128355574
60,531.476,0.01640733474793457
137,702.23,0.01640398195021347
59,529.258,0.016401889888651468
82,580.263,0.016401048252207503
81,578.045,0.016390151659613918
83,582.48,0.016344888890379022
58,527.041,0.01627825203567209
85,586.915,0.016268193642508783
84,584.698,0.016266517243648228
86,589.133,0.01620155678780185
57,524.823,0.016191079294923402
136,700.012,0.01619024109549313
87,591.351,0.01618353550005092
88,593.568,0.016162580514294023
89,595.786,0.016113964947338025
90,598.003,0.016103487454459577
56,522.606,0.01606073928351551
91,600.221,0.016023858508583372
92,602.439,0.016011704616844372
93,604.656,0.015958059853306717
55,520.388,0.015944229562707166
95,609.091,0.015942972263561752
135,697.794,0.015942134064131478
94,606.874,0.0159136352835021
96,611.309,0.015898547693757134
54,518.17,0.015870468012842892
97,613.526,0.01583861643449241
53,515.953,0.01580215475927541
98,615.744,0.01574557629773179
134,695.577,0.01572713591026572
99,617.962,0.01570953372222993
100,620.179,0.015706180924508827
101,622.397,0.015688159636757897
52,513.735,0.015639124970086758
102,624.614,0.015633257574074827
107,635.702,0.01561020708974224
51,511.518,0.01560811159116655
104,629.049,0.015593024001421586
103,626.832,0.015585061106833966
106,633.485,0.015562848821931655
133,693.359,0.015560334223640828
105,631.267,0.015559496024210553
109,640.137,0.015539379237883932
108,637.92,0.01550543216095776
110,642.355,0.015498307465800415
50,509.3,0.015480705277764623
49,507.083,0.0154572356937169
111,644.573,0.015456397494286624
112,646.79,0.015419516719354485
132,691.142,0.015414906622487968
47,502.647,0.015413649323342556
48,504.865,0.015395208935876486
39,484.907,0.01537634944869528
113,649.008,0.015364614656671417
29,462.731,0.015357489961514073
45,498.212,0.015343659670914521
42,491.559,0.015331505779175521
44,495.995,0.015322704685157626
28,460.513,0.01531977098715166
115,653.443,0.015313065391709454
131,688.924,0.015305940696552108
43,493.777,0.015304683397406696
41,489.342,0.015297977801964489
32,469.384,0.015294625004243384
23,449.425,0.015292529505667694
46,500.43,0.015289176707946592
37,480.472,0.01528750030908604
31,467.166,0.015284566611080075
35,476.036,0.015270736320480522
117,657.878,0.015263611625323179
114,651.225,0.015260677927317213
116,655.66,0.015257325129596109
38,482.689,0.015250619534153903
30,464.949,0.015248104935863075
33,471.601,0.015246009437287385
27,458.296,0.015245171237857109
40,487.124,0.015238465642414902
25,453.861,0.015217929756373145
118,660.096,0.015217091556942869
129,684.489,0.01520703316377956
123,671.184,0.01520661406406442
24,451.643,0.015205356764919006
119,662.313,0.01520493766520387
36,478.254,0.015203680366058455
26,456.078,0.015201584867482765
130,686.707,0.015181887180871283
127,680.054,0.015176857984289627
34,473.819,0.0151743433859988
120,664.531,0.015171828787707974
121,666.748,0.01516847598998687
125,675.619,0.015167637790556594
128,682.271,0.015166799591126318
20,442.773,0.015155902998532731
126,677.836,0.015134109813345559
22,447.208,0.015129080616763905
21,444.99,0.01512195592160656
122,668.966,0.015112735727873526
124,673.401,0.015111059329012974
18,438.338,0.015034783180857872
19,440.555,0.015030592183706493
17,436.12,0.014911148764892185
16,433.902,0.014875106189390324
14,429.467,0.014760272867442532
12,425.032,0.014753567272000325
15,431.685,0.014751890873139774
9,418.379,0.01473847968225536
11,422.814,0.014634962052616293
13,427.25,0.014594728479963051
8,416.162,0.014489115351748296
10,420.597,0.014484505254881779
5,409.509,0.014295910383069713
7,413.944,0.014292557585348609
6,411.727,0.014232207226368749
3,405.074,0.014194907351721473
2,402.856,0.014081750428634233
0,398.421,0.013926264434318065
4,407.291,0.013925426234887787
1,400.639,0.01390069935169465
