Band_Index,Wavelength_nm,Dice_Score
243,937.293,0.018463437950401226
246,943.946,0.018407697688287882
257,968.339,0.018407697688287882
241,932.858,0.018401411192560814
251,955.034,0.018397220195409434
247,946.164,0.018387161802246123
249,950.599,0.018385066303670435
253,959.469,0.018383389904809883
266,988.298,0.018383389904809883
239,928.423,0.018383389904809883
237,923.988,0.018379198907658503
242,935.076,0.018376684309367675
269,994.95,0.01837542701022226
245,941.728,0.01837375061136171
265,986.08,0.018370816913355743
240,930.64,0.01835782482218647
250,952.816,0.01832932604155709
272,1001.6,0.018327649642696536
248,948.381,0.018326811443266262
233,915.117,0.01832471594469057
262,979.427,0.01831675305010295
260,974.992,0.018314657551527263
244,939.511,0.018314238451812126
255,963.904,0.01831340025238185
258,970.557,0.01831340025238185
235,919.553,0.01831256205295157
261,977.21,0.01831130475380616
254,961.687,0.018300827260927712
270,997.168,0.018299150862067157
229,906.247,0.018295378964630918
268,992.733,0.018292026166909815
263,981.645,0.0182907688677644
231,910.682,0.0182874160700433
234,917.335,0.018281548674031367
252,957.251,0.018277357676879987
238,926.205,0.0182752621783043
232,912.9,0.018267718383431816
236,921.77,0.018258079089983642
259,972.774,0.018254307192547402
256,966.122,0.018253468993117125
227,901.812,0.018239642524632067
267,990.515,0.018221198315051507
271,999.385,0.018219941015906092
225,897.377,0.018212816320748747
228,904.029,0.018207368024451952
264,983.862,0.018181383842113402
230,908.465,0.01817970744325285
226,899.594,0.018174259146956057
223,892.942,0.018162524354932198
224,895.159,0.018162105255217057
221,888.506,0.01812312898170923
217,879.636,0.018116004286551888
222,890.724,0.01809546840051013
213,870.766,0.01809337290193444
215,875.201,0.018090439203928475
220,886.289,0.018087924605637646
219,884.071,0.01808708640620737
211,866.331,0.018083733608486266
216,877.419,0.01807535161418351
205,853.025,0.018065712320735335
218,881.854,0.018063197722444507
203,848.59,0.01805481572814175
210,864.113,0.018053977528711473
207,857.46,0.018038051739536234
195,830.849,0.018033022542954576
209,861.895,0.01803050794466375
214,872.983,0.018025478748082094
212,868.548,0.018020868651215577
204,850.808,0.018020868651215577
193,826.414,0.018005361961755475
